SubjectLabel,SubjectID,DirectionCount,FSPAEFrequencyMaxAbsError_Hz,RANFGridMaxAbsError_deg,RANFObservedHRIRMaxAbsError,EvaluationDirectionCount
P0163,163,14,0,0,7.41574335272333e-09,767
P0163,163,26,0,0,7.41574335272333e-09,767
P0177,177,6,0,0,9.17223186291949e-09,767
P0177,177,14,0,0,1.48430077118178e-08,767
P0177,177,26,0,0,1.48430077118178e-08,767
P0231,231,6,0,0,1.00265022395796e-08,767
P0231,231,14,0,0,1.00265022395796e-08,767
P0231,231,26,0,0,1.11556002768687e-08,767
P0234,234,6,0,0,4.88388665620398e-09,767
P0234,234,14,0,0,7.30563951001351e-09,767
P0234,234,26,0,0,1.06001675215239e-08,767
P0237,237,6,0,0,8.61727234013898e-09,767
P0237,237,14,0,0,8.61727234013898e-09,767
P0237,237,26,0,0,1.34753649350117e-08,767
P0240,240,6,0,0,6.97989605003002e-09,767
P0240,240,14,0,0,7.26350615765092e-09,767
P0240,240,26,0,0,7.32341590148344e-09,767
P0260,260,6,0,0,7.01657207335948e-09,767
P0260,260,14,0,0,7.05470629136506e-09,767
P0260,260,26,0,0,7.23401527569223e-09,767
P0261,261,6,0,0,5.78892311864365e-09,767
P0261,261,14,0,0,7.26860766020465e-09,767
P0261,261,26,0,0,7.26860766020465e-09,767
P0291,291,6,0,0,7.16427098201855e-09,767
P0291,291,14,0,0,7.35519828376496e-09,767
P0291,291,26,0,0,7.35519828376496e-09,767
P0293,293,6,0,0,7.29493668250036e-09,767
P0293,293,14,0,0,7.29493668250036e-09,767
P0293,293,26,0,0,7.43130187941254e-09,767
P0304,304,6,0,0,6.41261016509631e-09,767
P0304,304,14,0,0,7.16791012655982e-09,767
P0304,304,26,0,0,7.16791012655982e-09,767
P0309,309,6,0,0,5.82522782788253e-09,767
P0309,309,14,0,0,5.82522782788253e-09,767
P0309,309,26,0,0,7.21094184363835e-09,767
P0324,324,6,0,0,6.91759982629492e-09,767
P0324,324,14,0,0,6.91759982629492e-09,767
P0324,324,26,0,0,6.91759982629492e-09,767
P0325,325,6,0,0,6.43318817661331e-09,767
P0325,325,14,0,0,6.43318817661331e-09,767
P0325,325,26,0,0,6.43318817661331e-09,767
P0327,327,6,0,0,5.87796716855493e-09,767
P0327,327,14,0,0,5.87796716855493e-09,767
P0327,327,26,0,0,5.87796716855493e-09,767
P0331,331,6,0,0,3.70449736164513e-09,767
P0331,331,14,0,0,5.43965256172285e-09,767
P0331,331,26,0,0,7.19638904023157e-09,767
P0339,339,6,0,0,7.42620820393114e-09,767
P0339,339,14,0,0,7.42620820393114e-09,767
P0339,339,26,0,0,7.42620820393114e-09,767
P0349,349,6,0,0,7.15959883046402e-09,767
P0349,349,14,0,0,7.15959883046402e-09,767
P0349,349,26,0,0,7.19503945312283e-09,767
P0364,364,6,0,0,7.03627706100107e-09,767
P0364,364,14,0,0,7.03627706100107e-09,767
P0364,364,26,0,0,7.03627706100107e-09,767
P0371,371,6,0,0,7.44723333001573e-09,767
P0371,371,14,0,0,7.44723333001573e-09,767
P0371,371,26,0,0,7.44723333001573e-09,767
