Method,MethodLabel,BandIndex,BandCenter_Hz,ILDAbsoluteError_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
FSPAE,FSP-AE,12,1493.88037109375,1.4440512169491162,1.3756281919777393,1.5166403859176418
FSPAE,FSP-AE,13,1688.628662109375,1.4407084502957084,1.3650222023102372,1.5196298680522224
FSPAE,FSP-AE,14,1905.390625,1.6011704667048021,1.5191294263032349,1.6879638813436031
FSPAE,FSP-AE,15,2146.65478515625,1.7341254326430233,1.6472993543202228,1.8240087169815193
FSPAE,FSP-AE,16,2415.19091796875,1.7719027454202825,1.6879907584325835,1.8585570618510245
FSPAE,FSP-AE,17,2714.081298828125,1.8718081712722778,1.7739556017924438,1.9723116506907072
FSPAE,FSP-AE,18,3046.757568359375,1.8408089388500561,1.7497450795363296,1.9318164547735994
FSPAE,FSP-AE,19,3417.03857421875,1.8748692192814567,1.7621699548580432,1.9929660410366274
FSPAE,FSP-AE,20,3829.1748046875,1.8144252354448491,1.7111149126155809,1.9229470243508164
FSPAE,FSP-AE,21,4287.89794921875,1.7556772855195133,1.6608538710258225,1.8612307522784579
FSPAE,FSP-AE,22,4798.4736328125,1.7606020461429248,1.6811654130166227,1.8521107619458979
FSPAE,FSP-AE,23,5366.763671875,1.7181070772084324,1.6282090380110523,1.8120910919525406
FSPAE,FSP-AE,24,5999.29150390625,1.7891741096973419,1.6854423753239891,1.8939720663157376
FSPAE,FSP-AE,25,6703.318359375,2.0292565416206014,1.9052203320644117,2.1562075840478592
FSPAE,FSP-AE,26,7486.92626953125,2.1933583535931329,2.0716770164668561,2.3182038823989304
FSPAE,FSP-AE,27,8359.1103515625,2.2057238356633619,2.086726875332269,2.3246116812256248
FSPAE,FSP-AE,28,9329.884765625,2.1668347526680338,2.0476013801314612,2.2909366410564296
FSPAE,FSP-AE,29,10410.3916015625,2.1571213169531389,2.0068936186080628,2.3178326845169068
FSPAE,FSP-AE,30,11613.0361328125,2.185386286540465,2.0454786879772491,2.3405762496319684
FSPAE,FSP-AE,31,12951.625,2.2264260107820686,2.0763047529892487,2.3831572191281754
FSPAE,FSP-AE,32,14441.5224609375,2.2252142483537849,2.0781850999051872,2.3880453019656915
FSPAE,FSP-AE,33,16099.8349609375,2.3508405495773661,2.1993676522238688,2.5117681658403441
FSPAE,FSP-AE,34,17945.59765625,2.441468886353753,2.2840566263280131,2.602730853991075
RANF,RANF,0,247.59120178222656,0.62142150510441174,0.55878904123197903,0.68999321132221003
RANF,RANF,1,301.46255493164062,0.60699967904524366,0.54539738460020581,0.67526110578328369
RANF,RANF,2,361.42340087890625,0.61688490415161301,0.55497655272483826,0.68546272233467209
RANF,RANF,3,428.16201782226562,0.64418105442415585,0.58439171298999681,0.71084018378433855
RANF,RANF,4,502.444580078125,0.74840742214159528,0.69319651330059218,0.81381014676933938
RANF,RANF,5,585.12384033203125,0.75872707231478254,0.70300998874008658,0.82197384915568616
RANF,RANF,6,677.14886474609375,0.85131461376493622,0.78758993873542005,0.92305649224330077
RANF,RANF,7,779.576171875,1.0832782699303194,0.99814112772318453,1.1779137116264213
RANF,RANF,8,893.58160400390625,1.0738515826788815,0.9805985035205429,1.1764065577902578
RANF,RANF,9,1020.4738159179688,1.0676270994273098,0.98928726183419879,1.1508213097060267
RANF,RANF,10,1161.7095947265625,1.1897730583494359,1.0991787848824803,1.288069392063401
RANF,RANF,11,1318.9102783203125,1.2078726142644882,1.1262738241390748,1.2961930532685735
RANF,RANF,12,1493.88037109375,1.2577671977606686,1.1801229660483923,1.3400712675668975
RANF,RANF,13,1688.628662109375,1.2941928912292828,1.212319855967706,1.3798458194529468
RANF,RANF,14,1905.390625,1.3618223504586653,1.2697981868955222,1.4558719302442942
RANF,RANF,15,2146.65478515625,1.4220093962821094,1.3340098022059961,1.5074854342436248
RANF,RANF,16,2415.19091796875,1.5534500940279528,1.4714197608557615,1.6406906227496536
RANF,RANF,17,2714.081298828125,1.6882630451159044,1.5956473066048189,1.7835904548113994
RANF,RANF,18,3046.757568359375,1.7034024135632948,1.6047150063921105,1.8023807212710381
RANF,RANF,19,3417.03857421875,1.7652021863243796,1.6433852547271683,1.8916134184057061
RANF,RANF,20,3829.1748046875,1.8223370123993268,1.7017129213972524,1.9437621847472406
RANF,RANF,21,4287.89794921875,1.8599303581497886,1.7529881145466459,1.9750868718055161
RANF,RANF,22,4798.4736328125,1.9015887000344016,1.8047062386165966,2.0054116070947865
RANF,RANF,23,5366.763671875,1.9972179965539412,1.889094806665724,2.1130464134568516
RANF,RANF,24,5999.29150390625,2.1399878696961836,2.0232280507006428,2.2618150843138043
RANF,RANF,25,6703.318359375,2.4117445078763096,2.236269336058335,2.599777886677872
RANF,RANF,26,7486.92626953125,2.6568238951943139,2.4822291404686188,2.8307032604786482
RANF,RANF,27,8359.1103515625,2.807888142087243,2.6068871076811444,3.0179397471249101
RANF,RANF,28,9329.884765625,2.7544721202416853,2.5548051479865204,2.9540666938505389
RANF,RANF,29,10410.3916015625,2.7392545992677864,2.5564444762061944,2.93294643509117
RANF,RANF,30,11613.0361328125,2.8281870809468357,2.6319141845811496,3.038967096805572
RANF,RANF,31,12951.625,2.8900778970935126,2.7071797532114115,3.0926524796946482
RANF,RANF,32,14441.5224609375,2.8264585435390472,2.6248858536508952,3.0353952442380514
