SparseOrder,Method,Ear,FrequencyHz,MeanERBError_dB,SD_ERBError_dB
2,Conventional,Right,155.364902613614,0.00589724650555236,0.00176955233705627
2,Conventional,Right,198.689128271089,0.00539775719723748,0.00114699097343921
2,Conventional,Right,246.898828289411,0.00757079118811285,0.00110452425791685
2,Conventional,Right,300.544915220817,0.0133154956942886,0.00224080556000227
2,Conventional,Right,360.240425501075,0.0282418143489875,0.00603953777896935
2,Conventional,Right,426.667524875106,0.0557165701398869,0.0114843597798372
2,Conventional,Right,500.585303792335,0.0973244201743563,0.0178975966537824
2,Conventional,Right,582.838451853057,0.153127796188065,0.0240175965838397
2,Conventional,Right,674.366910432351,0.218666878895591,0.0294177551642316
2,Conventional,Right,776.216613786162,0.289690551142353,0.0348262683388858
2,Conventional,Right,889.551441382679,0.362778160288604,0.0408512795428922
2,Conventional,Right,1015.66651804335,0.436289033770817,0.0479989552621288
2,Conventional,Right,1156.00301387982,0.517542196117178,0.0516579122827642
2,Conventional,Right,1312.16461315198,0.60117132491804,0.0595323754699238
2,Conventional,Right,1485.93584024358,0.686346238228236,0.0798852720050526
2,Conventional,Right,1679.30245217416,0.777299559636162,0.0887332955300959
2,Conventional,Right,1894.47413068111,0.876990165543596,0.0924822472306195
2,Conventional,Right,2133.90973318379,0.991255502163333,0.0982074676996395
2,Conventional,Right,2400.34539118311,1.06864157636454,0.106086158803419
2,Conventional,Right,2696.82577718896,1.13258352917517,0.113188630151948
2,Conventional,Right,3026.73889747556,1.22659414088516,0.12406091122274
2,Conventional,Right,3393.85480825658,1.39860220409607,0.142437880120998
2,Conventional,Right,3802.36869770572,1.60762364789009,0.148483426646228
2,Conventional,Right,4256.94882613932,1.71927590006549,0.157154399098844
2,Conventional,Right,4762.78987219375,1.75846319235157,0.174296078089252
2,Conventional,Right,5325.67229460656,1.79166636672598,0.20146245966164
2,Conventional,Right,5952.02838795379,1.8478905241833,0.211109440725454
2,Conventional,Right,6649.01578718983,1.94059604699871,0.253653138356343
2,Conventional,Right,7424.59926095756,2.26286039836758,0.427796168484257
2,Conventional,Right,8287.64172835503,2.81046737555204,0.568830565333815
2,Conventional,Right,9248.00553924585,3.03140422345172,0.494658695760688
2,Conventional,Right,10316.6651754859,2.83345550932876,0.468809522747754
2,Conventional,Right,11505.8326609511,2.79447259399794,0.465451218101239
2,Conventional,Right,12829.0971134787,2.92142988384485,0.523366447628824
2,Conventional,Right,14301.580033442,3.10398223225528,0.548652978501846
2,Conventional,Right,15940.1081035055,3.12636958098717,0.496101983636654
2,Conventional,Right,17763.4054742165,3.11991053900439,0.490488475712929
2,Conventional,Right,19792.3077327617,3.23031839012663,0.49824327467909
2,MCA,Left,49.9999999999997,0.0152607847689016,0.00538994350168554
2,MCA,Left,81.4427085053407,0.0149860188612717,0.0055514464511584
2,MCA,Left,116.431067138464,0.0129124554542017,0.00480827714289433
2,MCA,Left,155.364902613614,0.00776368137608189,0.00245027986667334
2,MCA,Left,198.689128271089,0.00666297903948744,0.00153591595190979
2,MCA,Left,246.898828289411,0.0078341408648821,0.00158857107408493
2,MCA,Left,300.544915220817,0.0151883638445991,0.00307859876286335
2,MCA,Left,360.240425501075,0.0311876070774517,0.00656853166163287
2,MCA,Left,426.667524875106,0.0594384640629162,0.0117445788238774
2,MCA,Left,500.585303792335,0.10246738753829,0.0178768839659774
2,MCA,Left,582.838451853057,0.159982076253772,0.0237951707366658
2,MCA,Left,674.366910432351,0.229188425684696,0.029737105787402
