SparseOrder,Method,Ear,Region,SubjectCount,MeanERBError_dB,SD_ERBError_dB,MedianERBError_dB,MinERBError_dB,MaxERBError_dB
7,Conventional,Left,Frontal25deg,96,0.266188668576355,0.0491813579777483,0.259156096265938,0.166397480941079,0.414702231329381
7,Conventional,Left,Contralateral25deg,96,1.67471730275501,0.0964719035016229,1.66610812999642,1.47412130070896,1.92432196485618
7,Conventional,Right,FullSphere,96,0.48904517760279,0.0295522138454872,0.486980698753517,0.410972248434427,0.597807707222254
7,Conventional,Right,Frontal25deg,96,0.228294907995049,0.0434219174876044,0.218305647471734,0.15551975697825,0.355381452401183
7,Conventional,Right,Contralateral25deg,96,1.69548821073319,0.105439237223022,1.68238605928744,1.49829658244348,2.10204616305823
7,MCA,Left,FullSphere,96,0.441771350648974,0.0232172827512173,0.445036319546227,0.365488943826497,0.488506854254885
7,MCA,Left,Frontal25deg,96,0.243083724971985,0.0277712379984775,0.240792927358674,0.168590015588455,0.397067597676263
7,MCA,Left,Contralateral25deg,96,1.36607266291554,0.0917799831081509,1.35446754385413,1.16195409905216,1.55191471196205
7,MCA,Right,FullSphere,96,0.434022733234567,0.0236365660558988,0.436709119017349,0.368281000681292,0.483758977701086
7,MCA,Right,Frontal25deg,96,0.238321496969161,0.0251819663743306,0.237723180643094,0.174616639529611,0.316895362092392
7,MCA,Right,Contralateral25deg,96,1.35352298347427,0.0805890036398442,1.34875777926852,1.20848897701983,1.55466992859756
8,SH,Left,FullSphere,96,1.3352990702412,0.0504389899682616,1.34565446524642,1.19651894537499,1.45129231273924
8,SH,Left,Frontal25deg,96,1.03472639722942,0.0923482813332604,1.03045327642908,0.795276271156519,1.21189668415648
8,SH,Left,Contralateral25deg,96,3.04186254551391,0.200362888755635,3.03909544731879,2.50595911967964,3.47184271610293
8,SH,Right,FullSphere,96,1.35180405085836,0.0490664851788843,1.35264597696441,1.20937237639457,1.45676844434509
8,SH,Right,Frontal25deg,96,1.02401117259273,0.0965392938250343,1.02939214877962,0.84397960340261,1.23792901638824
8,SH,Right,Contralateral25deg,96,3.02483219653833,0.185976135272317,3.02321818111459,2.46069928929447,3.63336702406587
8,Conventional,Left,FullSphere,96,0.418982346216927,0.0285390925586408,0.419812453991087,0.339778401141452,0.496116063334068
8,Conventional,Left,Frontal25deg,96,0.188080739532242,0.0319293327010498,0.183956205338551,0.131357095757249,0.293384882111147
8,Conventional,Left,Contralateral25deg,96,1.78179235506169,0.0924705818883661,1.78610244476135,1.53741399383068,2.00553251420565
8,Conventional,Right,FullSphere,96,0.402290718738359,0.0242658075780256,0.399719508843477,0.341650076316188,0.492799562952445
8,Conventional,Right,Frontal25deg,96,0.165725282465828,0.0257756116356467,0.161164594082053,0.108192185423367,0.240951514506349
8,Conventional,Right,Contralateral25deg,96,1.76419436923278,0.0988123001769033,1.75917385472983,1.50864534371404,2.00122115963457
8,MCA,Left,FullSphere,96,0.37346565459684,0.0206048511673445,0.375248514523424,0.30566237421951,0.409835273445589
8,MCA,Left,Frontal25deg,96,0.181090646312945,0.0185846628121992,0.179690719352277,0.137871558006535,0.254863786965002
8,MCA,Left,Contralateral25deg,96,1.52905565156982,0.133756004647471,1.52502988959259,1.19128758143612,1.8434428016821
8,MCA,Right,FullSphere,96,0.36714381127054,0.0208408627483713,0.368522117954305,0.31937383935614,0.414415454690798
8,MCA,Right,Frontal25deg,96,0.178364375904945,0.0218802857685596,0.177366643906573,0.131483452371092,0.245644053089777
8,MCA,Right,Contralateral25deg,96,1.49930245335802,0.127005557329066,1.48033416056543,1.20776060862372,1.86014746005672
9,SH,Left,FullSphere,96,1.14101281540627,0.0585657730992744,1.14001162864977,1.01775825635785,1.25930175996204
9,SH,Left,Frontal25deg,96,0.51947105599054,0.0794033497284272,0.506638731305291,0.388094787120008,0.79797473709445
9,SH,Left,Contralateral25deg,96,2.91339448387599,0.221467780017569,2.92005769939954,2.39871800372365,3.42106471444199
9,SH,Right,FullSphere,96,1.17292176741547,0.0623852764925617,1.17030421399127,1.01424606570145,1.31719509516537
9,SH,Right,Frontal25deg,96,0.537481291876735,0.0835548744559218,0.525856410351009,0.356580775820054,0.734376176208442
9,SH,Right,Contralateral25deg,96,2.93412658278345,0.230999440185753,2.9484790624799,2.31787459443024,3.53178485522858
9,Conventional,Left,FullSphere,96,0.354443472485622,0.0236225263365253,0.35714220232446,0.30244913490254,0.42542083680847
9,Conventional,Left,Frontal25deg,96,0.146674805879983,0.0261251565874997,0.140540918533478,0.103234931380186,0.25905180282423
9,Conventional,Left,Contralateral25deg,96,1.73196517056952,0.106679868671602,1.7236216862683,1.51836356987557,2.00991657141976
9,Conventional,Right,FullSphere,96,0.340130554015187,0.0211150984453389,0.339861764216466,0.285238708771374,0.417448301190818
9,Conventional,Right,Frontal25deg,96,0.130951159611437,0.0205965906833104,0.129261143467418,0.094167610570033,0.18759189913545
9,Conventional,Right,Contralateral25deg,96,1.72258119035014,0.103043569028363,1.70959682585761,1.4978176442421,1.97814456845489
9,MCA,Left,FullSphere,96,0.315615131612769,0.0183787145124748,0.317211599146299,0.261230229812254,0.362716745653717
9,MCA,Left,Frontal25deg,96,0.149001155467736,0.0197427331668968,0.148612055075677,0.113983003221102,0.226877619479204
