SubjectLabel,SubjectID,Split,Method,Metric,Unit,Value
nh770,770,test,MCA,Contralateral25ERB,dB,1.25781635545959
nh770,770,test,MCA,ERBBandILDMean,dB,2.0893628597259521
nh770,770,test,MCA,ITDWeightedMAE,us,17.508176925799606
nh770,770,test,MCA,FullSphereLSD,dB,4.7173240972151333
nh770,770,test,FSC,FullSphereERB,dB,0.87858313617943695
nh770,770,test,FSC,Contralateral25ERB,dB,1.0087130152786199
nh770,770,test,FSC,ERBBandILDMean,dB,1.679036021232605
nh770,770,test,FSC,ITDWeightedMAE,us,17.028923924465889
nh770,770,test,FSC,FullSphereLSD,dB,3.7346329483778633
nh780,780,test,MCA,FullSphereERB,dB,1.1637247174217
nh780,780,test,MCA,Contralateral25ERB,dB,1.3303628179756899
nh780,780,test,MCA,ERBBandILDMean,dB,2.1258888244628906
nh780,780,test,MCA,ITDWeightedMAE,us,15.396924494453325
nh780,780,test,MCA,FullSphereLSD,dB,4.7750780817260097
nh780,780,test,FSC,FullSphereERB,dB,0.85829170821225698
nh780,780,test,FSC,Contralateral25ERB,dB,1.04837568352523
nh780,780,test,FSC,ERBBandILDMean,dB,1.5528616905212402
nh780,780,test,FSC,ITDWeightedMAE,us,14.846013419282386
nh780,780,test,FSC,FullSphereLSD,dB,3.7458609397173852
nh791,791,test,MCA,FullSphereERB,dB,1.1804126391206
nh791,791,test,MCA,Contralateral25ERB,dB,1.3574590001834099
nh791,791,test,MCA,ERBBandILDMean,dB,2.0044617652893066
nh791,791,test,MCA,ITDWeightedMAE,us,13.739246266315313
nh791,791,test,MCA,FullSphereLSD,dB,4.6551990733166972
nh791,791,test,FSC,FullSphereERB,dB,0.87468926199575103
nh791,791,test,FSC,Contralateral25ERB,dB,1.0486145870160799
nh791,791,test,FSC,ERBBandILDMean,dB,1.5284099578857422
nh791,791,test,FSC,ITDWeightedMAE,us,12.810996994205237
nh791,791,test,FSC,FullSphereLSD,dB,3.4486849565555011
