Comparator,DirectionCount,Metric,ComparatorMinusBoundedSensitivity_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
MCARv351,14,ContralateralHighFrequency,0.198945440634655,0.138992686053413,0.261563884726358
MCARv351,50,ContralateralHighFrequency,-0.0257222589514995,-0.0445731712481428,-0.0101583376942835
MCARv351,14,HorizontalILDMAE,0.0180322941254238,-0.024439528590185,0.076571384068659
MCARv351,50,HorizontalILDMAE,-0.00963945260545036,-0.0589396773588932,0.0235337571125766
FSPAE,14,FullSphereERB,0.425487053451144,0.366797064858377,0.471521707516573
FSPAE,50,FullSphereERB,0.802454562973309,0.783379807416127,0.822906873844879
FSPAE,14,Contralateral25ERB,0.200211127377948,0.141653053308524,0.24480004071717
FSPAE,50,Contralateral25ERB,0.161949928219671,0.110493652025924,0.21283918122845
FSPAE,14,ContralateralHighFrequency,0.325604295123632,0.267323690819237,0.388145363115651
FSPAE,50,ContralateralHighFrequency,0.402496490318984,0.324703119881193,0.480289860756776
FSPAE,14,HorizontalILDMAE,0.650252500595389,0.415452110588852,0.885052890601925
FSPAE,50,HorizontalILDMAE,0.57557959101998,0.374771535925016,0.773940575906332
RANF,14,FullSphereERB,-0.343478993476772,-0.379012604740213,-0.305842136908112
RANF,50,FullSphereERB,-0.0741657003645642,-0.133669232647582,-0.0141883345825298
RANF,14,Contralateral25ERB,-0.491311966666601,-0.578713900695027,-0.443564689269662
RANF,50,Contralateral25ERB,-0.0667012354092133,-0.188661555471208,0.124673433653438
RANF,14,ContralateralHighFrequency,-0.517166305322113,-0.59971309126339,-0.371959807901985
RANF,50,ContralateralHighFrequency,-0.182273878943209,-0.299708875047816,-0.0648388828386013
RANF,14,HorizontalILDMAE,-0.131679409731308,-0.305370910554799,0.0420120910921827
RANF,50,HorizontalILDMAE,-0.0892559636697066,-0.152717684681444,-0.00399816366981388
HYBRID,14,FullSphereERB,-0.0190278922975054,-0.0266219987684291,-0.00933590834413173
HYBRID,50,FullSphereERB,0.00833826049593392,0.00120144724994709,0.0154750737419208
HYBRID,14,Contralateral25ERB,-0.0732489632434682,-0.0981935248986566,-0.0483044015882798
HYBRID,50,Contralateral25ERB,0.000842984702606464,-0.0122603688873359,0.0139463382925489
HYBRID,14,ContralateralHighFrequency,-0.0472081168866452,-0.0921831420455239,-0.0207197115959967
HYBRID,50,ContralateralHighFrequency,-0.015354816362665,-0.0364149895781432,0.019309963634269
HYBRID,14,HorizontalILDMAE,0.00945945967446858,-0.0963677908510466,0.127598799563249
HYBRID,50,HorizontalILDMAE,-0.00932380277317213,-0.0845028769915963,0.091117725071359
