SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0341,341,50,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,6.5136179666744
P0341,341,50,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,1.85349373740197
P0341,341,50,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,1.81469171674703
P0341,341,50,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.26249194932803
P0341,341,50,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,5.79800976152615
P0341,341,50,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.41444971575786
P0341,341,50,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,1.63688537825802
P0341,341,50,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.1204609454596
P0341,341,50,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.38484345667724
P0341,341,50,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.33892892591677
P0341,341,50,MCA,MCA,FullSphereERB,Full-sphere ERB,1.00201893639393
P0341,341,50,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,1.74951120831124
P0341,341,50,MCA,MCA,ContralateralHighFrequency,Contralateral HF,4.39471582972567
P0341,341,50,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,0.918889413686409
P0341,341,50,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,0.822661095092575
P0341,341,50,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.15890362224847
P0341,341,50,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,3.26595148251249
P0341,341,50,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.696863730441188
P0341,341,50,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,2.13463141956548
P0341,341,50,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,2.20269156446005
P0341,341,50,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,3.38200982120675
P0341,341,50,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,1.4128227991931
P0341,341,50,RANF,RANF,FullSphereERB,Full-sphere ERB,1.17095005996959
P0341,341,50,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.75080578000352
P0341,341,50,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.2222503628871
P0341,341,50,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,1.02307009359353
P0341,341,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.792668534670347
P0341,341,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.10396724963702
P0341,341,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.27447371998942
P0341,341,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.516365241603506
P0341,341,50,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,0.789896550070385
P0341,341,50,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.09729093859951
P0341,341,50,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,3.29049965818986
P0341,341,50,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.605012671777278
P0354,354,14,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.863607205033
P0354,354,14,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,5.31248186550815
P0354,354,14,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,11.0445372722259
P0354,354,14,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,4.0587701101348
P0354,354,14,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.91474047440679
P0354,354,14,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.77285954954309
P0354,354,14,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,7.43446057351895
P0354,354,14,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,1.89733445585792
P0354,354,14,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,2.09579101897939
P0354,354,14,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.70404147741963
P0354,354,14,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,6.82440186190724
P0354,354,14,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.42517124172647
P0354,354,14,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,2.04115066514646
P0354,354,14,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.65313040642361
P0354,354,14,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,6.68158676669597
P0354,354,14,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.36542185551995
P0354,354,14,MCA,MCA,FullSphereERB,Full-sphere ERB,1.43896791412804
P0354,354,14,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,2.41656147266662
