Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
SUpDEqSH,SUpDEq + SH,50,HorizontalILDMAE,4,1.65067258410994,0.322606723699169,1.38760290003413,1.91374226818574
SUpDEqNN,SUpDEq + Natural Neighbor,14,FullSphereERB,4,1.89862083968784,0.301155048241336,1.64494913971336,2.15229253966232
SUpDEqNN,SUpDEq + Natural Neighbor,26,FullSphereERB,4,1.63832919939955,0.344438422813908,1.37564780736951,1.92603656690257
SUpDEqNN,SUpDEq + Natural Neighbor,50,FullSphereERB,4,1.3953769162412,0.313829162188602,1.15632212624029,1.68123279961685
SUpDEqNN,SUpDEq + Natural Neighbor,14,Contralateral25ERB,4,2.48030205582584,0.256340507639032,2.27719433401482,2.68340977763686
SUpDEqNN,SUpDEq + Natural Neighbor,26,Contralateral25ERB,4,2.0946199983504,0.144095844840623,1.95512571153999,2.20427442024745
SUpDEqNN,SUpDEq + Natural Neighbor,50,Contralateral25ERB,4,1.95312094692657,0.207367927488797,1.83520731614559,2.15723228532416
SUpDEqNN,SUpDEq + Natural Neighbor,14,ContralateralHighFrequency,4,6.20898120010318,0.414435890950083,5.95516001899193,6.6269655782369
SUpDEqNN,SUpDEq + Natural Neighbor,26,ContralateralHighFrequency,4,5.74710360457514,0.330736449459577,5.47058880604481,6.02361840310548
SUpDEqNN,SUpDEq + Natural Neighbor,50,ContralateralHighFrequency,4,5.59796673719828,0.181969625460924,5.44555803084633,5.75037544355022
SUpDEqNN,SUpDEq + Natural Neighbor,14,HorizontalILDMAE,4,1.80735192565841,0.36894047636827,1.49962865818603,2.11507519313079
SUpDEqNN,SUpDEq + Natural Neighbor,26,HorizontalILDMAE,4,1.47017253447658,0.338533937709803,1.18971430966235,1.75063075929081
SUpDEqNN,SUpDEq + Natural Neighbor,50,HorizontalILDMAE,4,1.27149241539696,0.306647950378781,1.00321526047144,1.49725739338351
SUpDEqBary,SUpDEq + Barycentric,14,FullSphereERB,4,1.83924628232313,0.280420532126705,1.5982172148451,2.08027534980116
SUpDEqBary,SUpDEq + Barycentric,26,FullSphereERB,4,1.55076797422239,0.291397583573032,1.32655610795865,1.79047066341784
SUpDEqBary,SUpDEq + Barycentric,50,FullSphereERB,4,1.27864210303099,0.269315480390821,1.07380843993759,1.52230130248314
SUpDEqBary,SUpDEq + Barycentric,14,Contralateral25ERB,4,2.45089966193277,0.246010137408926,2.25353097853328,2.64227829119478
SUpDEqBary,SUpDEq + Barycentric,26,Contralateral25ERB,4,2.05959659298821,0.134282203558617,1.92467177512582,2.13534798326777
SUpDEqBary,SUpDEq + Barycentric,50,Contralateral25ERB,4,1.89875867655371,0.165262282644509,1.77582692098315,2.04850035448173
