EvidenceTier,Split,EvidenceLevel,Endpoint,Unit,Direction,MethodOrder,Method,MethodLabel,Status,Reason,SubjectCount,Mean,SampleStd,RankWithinTier
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,0.3153167732737281,0.06554848565076943,8
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,0.3138844841583209,0.06507820141384793,7
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,5,MCA,MCA,AVAILABLE,,44,0.32825160907073453,0.07158535515757224,10
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.25380985980684106,0.05249642996734931,5
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,0.21881258149038663,0.046298489101355415,2
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,8,RANF,RANF,AVAILABLE,,44,0.2194569700143554,0.038283550936428414,3
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.21679756993597205,0.0436123618810424,1
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.2394630400971933,0.049715754635632804,4
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,0.8691394965757023,0.09153951034531883,10
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,0.8076764467087659,0.1082604906781881,9
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,0.7451926158233122,0.09723966842397831,6
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,0.7452971081842076,0.09641643655494282,7
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,0.782481696118008,0.10650247244229426,8
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.500103891573169,0.06708195228018586,3
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,0.5033549625765193,0.06824775790645948,4
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,0.49139629914001987,0.06612955211994317,2
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.4884118525819345,0.06537468135553952,1
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.5070001049475237,0.07031655368670378,5
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,4.607953385873274,0.3526251513848903,10
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,2.7938195792111484,0.23094352793848513,9
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,2.513480852950703,0.16892571305984458,7
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,2.5384859442710876,0.1513988689352276,8
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,1.9954270828853955,0.1373214942080529,6
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,1.5625394013794986,0.12054959748371862,3
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,1.5991126461462541,0.13756048278788177,4
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,1.72280815243721,0.1853409414981954,5
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,1.4992052533409812,0.1523079480288527,2
