Method,DirectionCount,ReferenceDirectionCount,Metric,QMinusQ26Mean_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB,QWins,Ties,QLosses
RANF,50,26,FullSphereERB,-0.043044557429849,-0.0623634010554169,-0.0231710720818575,36,0,8
RANF,14,26,Contralateral25ERB,-0.0473693527688488,-0.0992135846283059,0.012004291591052,26,0,18
RANF,50,26,Contralateral25ERB,-0.0320701374263274,-0.0769207884286007,0.0146274876681911,30,0,14
RANF,14,26,ContralateralHighFrequency,0.0929782669318509,0.0630475257542051,0.122149306560502,10,0,34
RANF,50,26,ContralateralHighFrequency,-0.229513282670333,-0.265521421191371,-0.19376153017957,44,0,0
RANF,14,26,HorizontalILDMAE,-0.0248749111871062,-0.0764598482199469,0.0253372062317251,22,0,22
RANF,50,26,HorizontalILDMAE,-0.0215741066206771,-0.0730361919301963,0.0296141789650556,24,0,20
HYBRID,14,26,FullSphereERB,0.304875019308016,0.290577475089212,0.319747080449419,0,0,44
HYBRID,50,26,FullSphereERB,0.0162829310025686,0.0087827298894468,0.0231960343244771,9,0,35
HYBRID,14,26,Contralateral25ERB,0.452679580115984,0.417219933789411,0.490964826931516,0,0,44
HYBRID,50,26,Contralateral25ERB,0.0510869516119422,0.0381540954902086,0.064047243186716,6,0,38
HYBRID,14,26,ContralateralHighFrequency,0.542473460114744,0.480898074904483,0.6035901871814,0,0,44
HYBRID,50,26,ContralateralHighFrequency,0.00860221569597435,-0.013293811484501,0.0300653668758501,18,0,26
HYBRID,14,26,HorizontalILDMAE,0.129821184500787,0.0674695621157039,0.193510013566953,14,0,30
HYBRID,50,26,HorizontalILDMAE,0.0217698931202335,-0.00927536597838883,0.0532133451323011,20,0,24
BOUNDED,14,26,FullSphereERB,0.318647835710841,0.301826778861896,0.336147772176724,0,0,44
BOUNDED,50,26,FullSphereERB,0.0177130079096497,0.0107853077280372,0.0241316660424793,9,0,35
BOUNDED,14,26,Contralateral25ERB,0.512793863336093,0.475192253560625,0.55147619307561,0,0,44
BOUNDED,50,26,Contralateral25ERB,0.0581546003185669,0.0438939301105132,0.0723059308315706,4,0,40
BOUNDED,14,26,ContralateralHighFrequency,0.552395575771833,0.484633767961931,0.623080469317518,0,0,44
BOUNDED,50,26,ContralateralHighFrequency,0.033942915421407,0.0160334400012916,0.0518325020843346,13,0,31
BOUNDED,14,26,HorizontalILDMAE,0.167115614423438,0.099134798235065,0.234782117163574,9,0,35
BOUNDED,50,26,HorizontalILDMAE,0.0549410134123101,0.0202196734585211,0.0894488386571631,15,0,29
