Comparator,DirectionCount,Metric,ComparatorMinusBoundedSensitivity_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
MCARv351,50,FullSphereERB,-0.006114843523565,-0.00839665576890204,-0.00376589219417328
MCARv351,14,Contralateral25ERB,0.0888525045610345,0.0655206589226223,0.111933880623283
MCARv351,50,Contralateral25ERB,0.00495768269627735,-0.00250828242257985,0.0119191212291146
MCARv351,14,ContralateralHighFrequency,0.182504261728686,0.15896244379004,0.20624461561516
MCARv351,50,ContralateralHighFrequency,-0.0237338477668631,-0.0342266408164623,-0.0129455489365677
MCARv351,14,HorizontalILDMAE,0.0332035817256008,0.0136641289774134,0.0542715730453708
MCARv351,50,HorizontalILDMAE,0.0213313494179962,0.00458045803143319,0.0384240793843315
FSPAE,14,FullSphereERB,0.634152894721428,0.564937798887329,0.701643518312437
FSPAE,50,FullSphereERB,0.863554569816944,0.836780197183669,0.88994017027203
FSPAE,14,Contralateral25ERB,0.119410219026129,0.0644308610401465,0.17672444979384
FSPAE,50,Contralateral25ERB,0.217225130981309,0.186395774718892,0.249872762236071
FSPAE,14,ContralateralHighFrequency,0.311775510193251,0.236321257206093,0.381686010156038
FSPAE,50,ContralateralHighFrequency,0.485182619365456,0.429243611700417,0.543904140716336
FSPAE,14,HorizontalILDMAE,1.05071717282702,0.858829874702872,1.25034089290118
FSPAE,50,HorizontalILDMAE,0.534349885734824,0.474855322339942,0.595831715437279
RANF,14,FullSphereERB,-0.287695971303904,-0.30437979560052,-0.270299181285362
RANF,50,FullSphereERB,-0.0607575653394987,-0.0777920004371194,-0.0423863979328763
RANF,14,Contralateral25ERB,-0.560163216104942,-0.605224855349926,-0.514949662759033
RANF,50,Contralateral25ERB,-0.0902247377448943,-0.133739490939798,-0.0449584020443895
RANF,14,ContralateralHighFrequency,-0.459417308839982,-0.527120945949085,-0.391831607615724
RANF,50,ContralateralHighFrequency,-0.26345619809174,-0.299360592939051,-0.227765184902421
RANF,14,HorizontalILDMAE,-0.191990525610545,-0.263059782807711,-0.120835181969294
RANF,50,HorizontalILDMAE,-0.0765151200329871,-0.134384233490535,-0.0200270404987456
HYBRID,14,FullSphereERB,-0.013772816402825,-0.0189695200655324,-0.00835429519346951
HYBRID,50,FullSphereERB,-0.00143007690708108,-0.00422522476795675,0.00134432703866293
HYBRID,14,Contralateral25ERB,-0.0601142832201092,-0.0832729681749218,-0.0358174019590129
HYBRID,50,Contralateral25ERB,-0.00706764870662476,-0.0130310545314098,-0.00100629086244837
HYBRID,14,ContralateralHighFrequency,-0.00992211565708937,-0.0335359201650802,0.0143423727799116
HYBRID,50,ContralateralHighFrequency,-0.0253406997254326,-0.0362955219986031,-0.0143518868927308
HYBRID,14,HorizontalILDMAE,-0.0372944299226513,-0.0615191290638784,-0.0115196589090111
HYBRID,50,HorizontalILDMAE,-0.0331711202920766,-0.0496860038276953,-0.0161268874368859
