mode,target_subject,condition_donor,weighted_mae_db,weighted_rmse_db,seed
train_mean_latent,P0012,train_mean,3.305151532412204,5.048119892361282,20260821
train_mean_latent,P0013,train_mean,3.147936254853681,4.860057132682731,20260821
train_mean_latent,P0022,train_mean,3.014319684976669,4.682914841370944,20260821
train_mean_latent,P0026,train_mean,3.3097381158207173,5.074709178411293,20260821
train_mean_latent,P0046,train_mean,3.0911937608633937,4.725728211764993,20260821
train_mean_latent,P0066,train_mean,3.247100306256363,4.906443735137815,20260821
train_mean_latent,P0073,train_mean,2.8650361869784695,4.541224815110513,20260821
train_mean_latent,P0113,train_mean,3.152720592285618,4.7934011028864605,20260821
train_mean_latent,P0116,train_mean,3.464256002192378,5.165064984718187,20260821
train_mean_latent,P0125,train_mean,3.2409350410120754,4.9017270445786885,20260821
train_mean_latent,P0149,train_mean,3.024849354515436,4.740292642947647,20260821
train_mean_latent,P0161,train_mean,2.917855479299796,4.487075423685844,20260821
train_mean_latent,P0166,train_mean,3.108019792287612,4.7648407426570225,20260821
train_mean_latent,P0167,train_mean,3.2170112655740954,4.852488951265939,20260821
train_mean_latent,P0170,train_mean,3.2351179071086964,4.916701896046669,20260821
train_mean_latent,P0171,train_mean,3.0837535860871084,4.694216488911268,20260821
train_mean_latent,P0172,train_mean,2.8964028381301388,4.475994371835103,20260821
train_mean_latent,P0174,train_mean,3.2517760645020513,4.962770525741044,20260821
train_mean_latent,P0193,train_mean,3.075094695270449,4.723607857948085,20260821
train_mean_latent,P0194,train_mean,3.061455837026908,4.6701719312938135,20260821
train_mean_latent,P0198,train_mean,3.0034301966401853,4.606663290868105,20260821
train_mean_latent,P0202,train_mean,2.893138365917837,4.4686987680596495,20260821
train_mean_latent,P0203,train_mean,3.112277899617943,4.8604585435260885,20260821
train_mean_latent,P0207,train_mean,3.0265807470584756,4.580665170951708,20260821
train_mean_latent,P0208,train_mean,3.2045029475843876,4.887860070553033,20260821
train_mean_latent,P0221,train_mean,3.305573678403469,4.972391186395628,20260821
train_mean_latent,P0230,train_mean,3.134836667175673,4.887007020941512,20260821
train_mean_latent,P0242,train_mean,3.0229265278374755,4.598156322808426,20260821
train_mean_latent,P0256,train_mean,3.1828940467409996,4.852935266094883,20260821
train_mean_latent,P0257,train_mean,3.0365206898558816,4.601669344477666,20260821
train_mean_latent,P0274,train_mean,2.9911430412511057,4.626883568612942,20260821
train_mean_latent,P0277,train_mean,3.0425475060950484,4.612935991341627,20260821
train_mean_latent,P0278,train_mean,2.915811205934054,4.5646849193775685,20260821
train_mean_latent,P0294,train_mean,3.3079162042483823,5.015747258530024,20260821
train_mean_latent,P0295,train_mean,2.9822384312714454,4.657048419018751,20260821
train_mean_latent,P0307,train_mean,3.0492169583908497,4.658107904363208,20260821
train_mean_latent,P0313,train_mean,3.0334377498390905,4.61142238958042,20260821
train_mean_latent,P0335,train_mean,3.727347446586546,5.291882920764552,20260821
train_mean_latent,P0338,train_mean,3.590925226558245,5.40577599767243,20260821
train_mean_latent,P0341,train_mean,3.1740047706066985,4.746929073972961,20260821
train_mean_latent,P0354,train_mean,3.199780838594251,4.869814368358425,20260821
train_mean_latent,P0360,train_mean,2.7503662221032834,4.2716866090757994,20260821
train_mean_latent,P0369,train_mean,2.8801509006843697,4.452550190463237,20260821
condition_shuffle,P0001,P0012,3.3130795982030437,5.009565683947789,20260822
condition_shuffle,P0012,P0013,3.306254698223914,5.034370239592498,20260822
condition_shuffle,P0013,P0022,3.1112295875581015,4.793509502674659,20260822
condition_shuffle,P0022,P0026,3.047325304026686,4.700221083114223,20260822
condition_shuffle,P0026,P0046,3.3072602949563867,5.053175475798686,20260822
condition_shuffle,P0046,P0066,3.2050756763889816,4.840187151656409,20260822
condition_shuffle,P0066,P0073,3.295573777302178,4.937467128575512,20260822
condition_shuffle,P0073,P0113,3.026508370687653,4.746940000463565,20260822
condition_shuffle,P0113,P0116,3.117494547298235,4.743025159308204,20260822
condition_shuffle,P0116,P0125,3.4334641140980957,5.120005076155906,20260822
condition_shuffle,P0125,P0149,3.4756648481285737,5.159293782942463,20260822
condition_shuffle,P0149,P0161,3.0482484109683603,4.750618127904482,20260822
condition_shuffle,P0161,P0166,2.989643017170771,4.5567227996425475,20260822
condition_shuffle,P0166,P0167,3.2015721345785035,4.863558610662046,20260822
condition_shuffle,P0167,P0170,3.2353411765348183,4.865388871757402,20260822
condition_shuffle,P0170,P0171,3.2503208085337394,4.946424349869584,20260822
condition_shuffle,P0171,P0172,3.069928570705801,4.67118221175303,20260822
condition_shuffle,P0172,P0174,3.0883462373048123,4.670657258281772,20260822
condition_shuffle,P0174,P0193,3.3883585932642752,5.120101468298809,20260822
condition_shuffle,P0193,P0194,3.085434840187466,4.73183251640333,20260822
condition_shuffle,P0194,P0198,3.1261589506771386,4.7375559543596,20260822
condition_shuffle,P0198,P0202,3.0497010972531573,4.646565204933549,20260822
condition_shuffle,P0202,P0203,3.045288392317264,4.610877772274944,20260822
condition_shuffle,P0203,P0207,3.217632202283191,4.960326391742952,20260822
condition_shuffle,P0207,P0208,3.226857476678633,4.812132431508849,20260822
condition_shuffle,P0208,P0221,3.1963523172113226,4.856115199836526,20260822
condition_shuffle,P0221,P0230,3.3207791741240493,4.953387271222743,20260822
condition_shuffle,P0230,P0242,3.1923168806660858,4.9191036638187375,20260822
condition_shuffle,P0242,P0256,2.987783287571418,4.568447076335399,20260822
condition_shuffle,P0256,P0257,3.207945859266278,4.888325309548002,20260822
condition_shuffle,P0257,P0274,3.0523924877310784,4.650485667392655,20260822
condition_shuffle,P0274,P0277,3.0720691272816487,4.710856885541189,20260822
condition_shuffle,P0277,P0278,3.1162919420396262,4.725460169255447,20260822
condition_shuffle,P0278,P0294,2.9028727263684035,4.547443797149135,20260822
condition_shuffle,P0294,P0295,3.2689448903023637,4.9717615492288525,20260822
condition_shuffle,P0295,P0307,2.9415716415704787,4.603312200350519,20260822
condition_shuffle,P0307,P0313,3.106496037069486,4.717690998727484,20260822
condition_shuffle,P0313,P0335,3.007830287561935,4.590312563255937,20260822
condition_shuffle,P0335,P0338,3.8118234558322235,5.38970053258816,20260822
condition_shuffle,P0338,P0341,3.575812735799626,5.393425292982161,20260822
condition_shuffle,P0341,P0354,3.1969279915455315,4.7642928151711175,20260822
condition_shuffle,P0354,P0360,3.2742969537335522,4.9612363732855895,20260822
condition_shuffle,P0360,P0369,2.8396797991975977,4.357543161877456,20260822
condition_shuffle,P0369,P0001,2.919129283892392,4.450092769428341,20260822
train_mean_latent,P0001,train_mean,3.2978621361548677,4.99819368507281,20260822
train_mean_latent,P0012,train_mean,3.3190771788499154,5.057475120035384,20260822
train_mean_latent,P0013,train_mean,3.1630847042749544,4.869555307501335,20260822
train_mean_latent,P0022,train_mean,3.059291769797388,4.7423123101170495,20260822
train_mean_latent,P0026,train_mean,3.3553530581649778,5.137557079893708,20260822
train_mean_latent,P0046,train_mean,3.0838979636922943,4.702296834378093,20260822
train_mean_latent,P0066,train_mean,3.3060935274532826,4.9713394981073415,20260822
train_mean_latent,P0073,train_mean,2.8737931493958255,4.535679973615383,20260822
train_mean_latent,P0113,train_mean,3.155863400575549,4.7884725601455145,20260822
train_mean_latent,P0116,train_mean,3.5242431803701986,5.236945768697003,20260822
train_mean_latent,P0125,train_mean,3.2601231999097307,4.914733950243273,20260822
train_mean_latent,P0149,train_mean,3.04224330966838,4.766738907402552,20260822
train_mean_latent,P0161,train_mean,2.952608157756706,4.51301664878192,20260822
train_mean_latent,P0166,train_mean,3.1418334736712943,4.794881796025065,20260822
train_mean_latent,P0167,train_mean,3.203809128735382,4.8371377093902845,20260822
train_mean_latent,P0170,train_mean,3.2369173416575903,4.929710157788006,20260822
train_mean_latent,P0171,train_mean,3.0924916522097776,4.702356903989099,20260822
train_mean_latent,P0172,train_mean,2.9213536609043893,4.509217974024492,20260822
train_mean_latent,P0174,train_mean,3.2409323622783988,4.944376405091049,20260822
train_mean_latent,P0193,train_mean,3.1295905285238104,4.787822890816081,20260822
train_mean_latent,P0194,train_mean,3.089512232684864,4.687622620778597,20260822
train_mean_latent,P0198,train_mean,2.9922482463676072,4.581761386778076,20260822
train_mean_latent,P0202,train_mean,2.891829757225279,4.461149041765001,20260822
train_mean_latent,P0203,train_mean,3.1040327350398735,4.834734587979977,20260822
train_mean_latent,P0207,train_mean,3.042709723948314,4.599752641612336,20260822
train_mean_latent,P0208,train_mean,3.2064434066114327,4.887389178240297,20260822
train_mean_latent,P0221,train_mean,3.2851664840591233,4.927109614018815,20260822
train_mean_latent,P0230,train_mean,3.125782605779648,4.863495574872064,20260822
train_mean_latent,P0242,train_mean,2.992839922924587,4.568817621919529,20260822
train_mean_latent,P0256,train_mean,3.1592203617349393,4.812525780969173,20260822
train_mean_latent,P0257,train_mean,3.056045605937941,4.6371561885839565,20260822
train_mean_latent,P0274,train_mean,3.02466968506508,4.6677405479016185,20260822
train_mean_latent,P0277,train_mean,3.0524381513906658,4.626895893392519,20260822
train_mean_latent,P0278,train_mean,2.9360436187323296,4.589456662968247,20260822
train_mean_latent,P0294,train_mean,3.3606691629221697,5.0621943429954745,20260822
train_mean_latent,P0295,train_mean,2.9843661530063357,4.655205736607617,20260822
train_mean_latent,P0307,train_mean,3.0571110701918287,4.6691051081496715,20260822
train_mean_latent,P0313,train_mean,3.056127635220323,4.6300971882870945,20260822
train_mean_latent,P0335,train_mean,3.7588053438158093,5.323307264585984,20260822
train_mean_latent,P0338,train_mean,3.653244829024978,5.472912483204884,20260822
