source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,solid_angle_weight,is_q26_sparse_input,is_interpolation_evaluation
231,310.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
232,130.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
233,130.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
234,130.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
235,130.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
236,130.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
237,130.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
238,130.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
239,130.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
240,130.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
241,130.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
242,130.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
243,305.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
244,305.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
245,305.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
246,305.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
247,305.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
248,305.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
249,305.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
250,305.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
251,305.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
252,305.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
253,305.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
254,125.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
255,125.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
256,125.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
257,125.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
258,125.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
259,125.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
260,125.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
261,125.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
262,125.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
263,125.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
264,125.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
265,300.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
266,300.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
267,300.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
268,300.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
269,300.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
270,300.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
271,300.0000000000,20.0000000000,70.0000000000,0.001332657772229949,1,0
272,300.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
273,300.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
274,300.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
275,300.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
276,120.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
277,120.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
278,120.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
279,120.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
280,120.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
281,120.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
282,120.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
283,120.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
284,120.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,1,0
285,120.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
286,120.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
