SubjectLabel,SubjectID,Seed,Variant,Metric,Value
P0149,149,20260822,FSC E190,Contralateral25ERB,1.42958641200723
P0149,149,20260823,FiLM-SIREN E130,FullSphereERB,0.895661657807583
P0149,149,20260823,FiLM-SIREN E130,Contralateral25ERB,1.47607140255949
P0149,149,20260823,FSC E190,FullSphereERB,0.865358963565841
P0149,149,20260823,FSC E190,Contralateral25ERB,1.45952086198543
P0161,161,20260821,FiLM-SIREN E130,FullSphereERB,0.823880281744916
P0161,161,20260821,FiLM-SIREN E130,Contralateral25ERB,1.25951888571607
P0161,161,20260821,FSC E190,FullSphereERB,0.781161809881432
P0161,161,20260821,FSC E190,Contralateral25ERB,1.22627739894973
P0161,161,20260822,FiLM-SIREN E130,FullSphereERB,0.814900792389292
P0161,161,20260822,FiLM-SIREN E130,Contralateral25ERB,1.23642316720737
P0161,161,20260822,FSC E190,FullSphereERB,0.776005617939959
P0161,161,20260822,FSC E190,Contralateral25ERB,1.20358086658605
P0161,161,20260823,FiLM-SIREN E130,FullSphereERB,0.814387656500413
P0161,161,20260823,FiLM-SIREN E130,Contralateral25ERB,1.24308470520225
P0161,161,20260823,FSC E190,FullSphereERB,0.775210991624269
P0161,161,20260823,FSC E190,Contralateral25ERB,1.20587856759429
P0166,166,20260821,FiLM-SIREN E130,FullSphereERB,0.846769035468105
P0166,166,20260821,FiLM-SIREN E130,Contralateral25ERB,1.21071591761101
P0166,166,20260821,FSC E190,FullSphereERB,0.806679677535522
P0166,166,20260821,FSC E190,Contralateral25ERB,1.18749103211192
P0166,166,20260822,FiLM-SIREN E130,FullSphereERB,0.846263120026091
P0166,166,20260822,FiLM-SIREN E130,Contralateral25ERB,1.21043030662106
P0166,166,20260822,FSC E190,FullSphereERB,0.805718121443048
P0166,166,20260822,FSC E190,Contralateral25ERB,1.17629458841119
P0166,166,20260823,FiLM-SIREN E130,FullSphereERB,0.844372454710993
P0166,166,20260823,FiLM-SIREN E130,Contralateral25ERB,1.23475157642878
P0166,166,20260823,FSC E190,FullSphereERB,0.811312173804168
P0166,166,20260823,FSC E190,Contralateral25ERB,1.22097546551225
P0167,167,20260821,FiLM-SIREN E130,FullSphereERB,0.797015755241344
P0167,167,20260821,FiLM-SIREN E130,Contralateral25ERB,1.17237987025755
P0167,167,20260821,FSC E190,FullSphereERB,0.768227481847103
P0167,167,20260821,FSC E190,Contralateral25ERB,1.16519990594771
P0167,167,20260822,FiLM-SIREN E130,FullSphereERB,0.812125207826934
P0167,167,20260822,FiLM-SIREN E130,Contralateral25ERB,1.25624287308077
P0167,167,20260822,FSC E190,FullSphereERB,0.780664490203472
P0167,167,20260822,FSC E190,Contralateral25ERB,1.23414663307709
P0167,167,20260823,FiLM-SIREN E130,FullSphereERB,0.794227758845367
P0167,167,20260823,FiLM-SIREN E130,Contralateral25ERB,1.201362276151
P0167,167,20260823,FSC E190,FullSphereERB,0.767539748135402
P0167,167,20260823,FSC E190,Contralateral25ERB,1.19681364108768
P0170,170,20260821,FiLM-SIREN E130,FullSphereERB,0.836109176659409
P0170,170,20260821,FiLM-SIREN E130,Contralateral25ERB,1.28410438140239
P0170,170,20260821,FSC E190,FullSphereERB,0.807409928551156
P0170,170,20260821,FSC E190,Contralateral25ERB,1.26832841619162
P0170,170,20260822,FiLM-SIREN E130,FullSphereERB,0.822905154024638
P0170,170,20260822,FiLM-SIREN E130,Contralateral25ERB,1.28236312265761
P0170,170,20260822,FSC E190,FullSphereERB,0.791820922970331
P0170,170,20260822,FSC E190,Contralateral25ERB,1.25615737865955
P0170,170,20260823,FiLM-SIREN E130,FullSphereERB,0.816192907456814
P0170,170,20260823,FiLM-SIREN E130,Contralateral25ERB,1.25614358410808
P0170,170,20260823,FSC E190,FullSphereERB,0.792259885493643
P0170,170,20260823,FSC E190,Contralateral25ERB,1.23671971792704
P0171,171,20260821,FiLM-SIREN E130,FullSphereERB,0.772826215121562
P0171,171,20260821,FiLM-SIREN E130,Contralateral25ERB,1.18499148498167
P0171,171,20260821,FSC E190,FullSphereERB,0.752806235631145
P0171,171,20260821,FSC E190,Contralateral25ERB,1.17940047432664
P0171,171,20260822,FiLM-SIREN E130,FullSphereERB,0.771936842500134
P0171,171,20260822,FiLM-SIREN E130,Contralateral25ERB,1.15870014061864
P0171,171,20260822,FSC E190,FullSphereERB,0.75163208338422
P0171,171,20260822,FSC E190,Contralateral25ERB,1.15475351358621
P0171,171,20260823,FiLM-SIREN E130,FullSphereERB,0.769049386181472
P0171,171,20260823,FiLM-SIREN E130,Contralateral25ERB,1.15983525273028
P0171,171,20260823,FSC E190,FullSphereERB,0.749132809962813
P0171,171,20260823,FSC E190,Contralateral25ERB,1.16560259546247
