Seed,Metric,Unit,Difference,SubjectCount,MeanDifference,Bootstrap95Lower,Bootstrap95Upper,MedianDifference,P90Difference,P95Difference,WorstDecileMean,MaximumDegradation,MaximumSubject,Wins,Ties,Losses,WinRate,BootstrapReplicates,BootstrapSeed
20260822,ITDWeightedMAE,us,FSC E190 - FiLM-SIREN E130,44,-0.010120892838429783,-0.01988565222412036,-0.0006597698655540281,-0.006783239622999204,0.031971654068908784,0.0352571916555112,0.035075625712428504,0.03745806188401701,P0208,29,0,15,0.6590909090909091,10000,20260909
20260822,FullSphereLSD,dB,FSC E190 - FiLM-SIREN E130,44,-0.24293864251856964,-0.25737972537017273,-0.22889918026744785,-0.2425127570526091,-0.1791702608562973,-0.1643222436141172,-0.15447258294793942,-0.11373609971063603,P0242,44,0,0,1.0,10000,20260909
20260822,HFFirstDifferenceMAE,dB/bin,FSC E190 - FiLM-SIREN E130,44,-0.0781076354059306,-0.08408942444419319,-0.07268568675287745,-0.07698875665664673,-0.06105594038963317,-0.055100169777870175,-0.05152601599693298,-0.040130674839019775,P0278,44,0,0,1.0,10000,20260909
20260822,HFSecondDifferenceMAE,dB/bin^2,FSC E190 - FiLM-SIREN E130,44,-0.0688998404551636,-0.07482058929956772,-0.0632807140238583,-0.06630286574363708,-0.05106994807720184,-0.03893899694085119,-0.039827561378479,-0.02903801202774048,P0278,44,0,0,1.0,10000,20260909
20260822,MultiScaleNotchDepthMAE,dB,FSC E190 - FiLM-SIREN E130,44,-0.07276254960081795,-0.07954254192723469,-0.06687862944196571,-0.07094043493270874,-0.05264372527599334,-0.04932518601417541,-0.04707536697387695,-0.035949915647506714,P0198,44,0,0,1.0,10000,20260909
20260823,FullSphereERB,dB,FSC E190 - FiLM-SIREN E130,44,-0.02104789450187668,-0.02347129710264377,-0.018622586185967103,-0.020329661418427014,-0.009368931622309576,-0.007596576317380808,-0.007314687548459986,-0.006059556633269958,P0335,44,0,0,1.0,10000,20260909
20260823,Contralateral25ERB,dB,FSC E190 - FiLM-SIREN E130,44,-0.014226206186424424,-0.017900025143732057,-0.010504442319607758,-0.014035274685520016,0.0003614583069629101,0.00263529780417149,0.006703381300276012,0.02213203460607005,P0335,39,0,5,0.8863636363636364,10000,20260909
20260823,ERBBandILDMean,dB,FSC E190 - FiLM-SIREN E130,44,-0.07326675816015764,-0.08313097547401081,-0.06377126676115123,-0.06898796558380127,-0.03433765172958372,-0.02716434597969055,-0.01978309154510498,0.007086396217346191,P0257,43,0,1,0.9772727272727273,10000,20260909
20260823,ITDWeightedMAE,us,FSC E190 - FiLM-SIREN E130,44,-0.028406325894102625,-0.038802197987450285,-0.018198363278293512,-0.029666440306550967,0.011511200719859015,0.02745366481597894,0.0288954305123287,0.05341766910805035,P0207,34,0,10,0.7727272727272727,10000,20260909
20260823,FullSphereLSD,dB,FSC E190 - FiLM-SIREN E130,44,-0.2575570838146283,-0.27224494888430434,-0.24335198795931767,-0.25749227408500475,-0.18909351111664635,-0.1729648347297664,-0.16827003178601957,-0.14844064394475032,P0242,44,0,0,1.0,10000,20260909
20260823,HFFirstDifferenceMAE,dB/bin,FSC E190 - FiLM-SIREN E130,44,-0.07566966251893477,-0.08108167456970973,-0.07073665530505505,-0.0745563805103302,-0.059688737988471983,-0.05466074645519256,-0.05294087529182434,-0.04462972283363342,P0278,44,0,0,1.0,10000,20260909
20260823,HFSecondDifferenceMAE,dB/bin^2,FSC E190 - FiLM-SIREN E130,44,-0.0649423860013485,-0.0696980732662434,-0.06023423217067664,-0.06442230939865112,-0.047723835706710814,-0.04104755967855453,-0.040604612231254576,-0.034512653946876526,P0278,44,0,0,1.0,10000,20260909
20260823,MultiScaleNotchDepthMAE,dB,FSC E190 - FiLM-SIREN E130,44,-0.07131908901713112,-0.07785458297214724,-0.06557678194208579,-0.06960812211036682,-0.05185846686363219,-0.05052463561296463,-0.047456401586532596,-0.03899163007736206,P0198,44,0,0,1.0,10000,20260909
