Seed,SubjectLabel,SubjectID,Variant,Metric,Unit,Value
20260821,P0022,22,FSC E190,MultiScaleNotchDepthMAE,dB,0.48038673400878906
20260822,P0022,22,FiLM-SIREN E130,FullSphereERB,dB,0.73402071819105696
20260822,P0022,22,FiLM-SIREN E130,Contralateral25ERB,dB,1.1151584235915899
20260822,P0022,22,FiLM-SIREN E130,ERBBandILDMean,dB,1.3676739931106567
20260822,P0022,22,FiLM-SIREN E130,ITDWeightedMAE,us,14.526911719615779
20260822,P0022,22,FiLM-SIREN E130,FullSphereLSD,dB,3.6227699127890149
20260822,P0022,22,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.46554988622665405
20260822,P0022,22,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.27912107110023499
20260822,P0022,22,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.53058141469955444
20260822,P0022,22,FSC E190,FullSphereERB,dB,0.71681199720205802
20260822,P0022,22,FSC E190,Contralateral25ERB,dB,1.09065225466413
20260822,P0022,22,FSC E190,ERBBandILDMean,dB,1.3376903533935547
20260822,P0022,22,FSC E190,ITDWeightedMAE,us,14.524204702760805
20260822,P0022,22,FSC E190,FullSphereLSD,dB,3.4179986343677911
20260822,P0022,22,FSC E190,HFFirstDifferenceMAE,dB/bin,0.40526649355888367
20260822,P0022,22,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.2276359498500824
20260822,P0022,22,FSC E190,MultiScaleNotchDepthMAE,dB,0.47860941290855408
20260823,P0022,22,FiLM-SIREN E130,FullSphereERB,dB,0.71126658928404796
20260823,P0022,22,FiLM-SIREN E130,Contralateral25ERB,dB,1.0788973331039999
20260823,P0022,22,FiLM-SIREN E130,ERBBandILDMean,dB,1.3337551355361938
20260823,P0022,22,FiLM-SIREN E130,ITDWeightedMAE,us,14.488140073432513
20260823,P0022,22,FiLM-SIREN E130,FullSphereLSD,dB,3.6471623466844054
20260823,P0022,22,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.46800622344017029
20260823,P0022,22,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.28370022773742676
20260823,P0022,22,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.53038978576660156
20260823,P0022,22,FSC E190,FullSphereERB,dB,0.69631009275105105
20260823,P0022,22,FSC E190,Contralateral25ERB,dB,1.06924846192747
20260823,P0022,22,FSC E190,ERBBandILDMean,dB,1.3020788431167603
20260823,P0022,22,FSC E190,ITDWeightedMAE,us,14.508704690255664
20260823,P0022,22,FSC E190,FullSphereLSD,dB,3.4277285490118126
20260823,P0022,22,FSC E190,HFFirstDifferenceMAE,dB/bin,0.4072207510471344
20260823,P0022,22,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.23149049282073975
20260823,P0022,22,FSC E190,MultiScaleNotchDepthMAE,dB,0.47971352934837341
20260821,P0026,26,FiLM-SIREN E130,FullSphereERB,dB,0.81935448692466095
20260821,P0026,26,FiLM-SIREN E130,Contralateral25ERB,dB,1.32702782464969
20260821,P0026,26,FiLM-SIREN E130,ERBBandILDMean,dB,1.4466989040374756
20260821,P0026,26,FiLM-SIREN E130,ITDWeightedMAE,us,15.596333569810689
20260821,P0026,26,FiLM-SIREN E130,FullSphereLSD,dB,4.1615012470825707
20260821,P0026,26,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.63738393783569336
20260821,P0026,26,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.44219672679901123
20260821,P0026,26,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.716205894947052
20260821,P0026,26,FSC E190,FullSphereERB,dB,0.78889170442842105
20260821,P0026,26,FSC E190,Contralateral25ERB,dB,1.3064008398959299
20260821,P0026,26,FSC E190,ERBBandILDMean,dB,1.371023416519165
20260821,P0026,26,FSC E190,ITDWeightedMAE,us,15.593984235389678
20260821,P0026,26,FSC E190,FullSphereLSD,dB,3.8270942081948061
20260821,P0026,26,FSC E190,HFFirstDifferenceMAE,dB/bin,0.52523326873779297
20260821,P0026,26,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.33751377463340759
20260821,P0026,26,FSC E190,MultiScaleNotchDepthMAE,dB,0.60994851589202881
20260822,P0026,26,FiLM-SIREN E130,FullSphereERB,dB,0.83484043734526803
20260822,P0026,26,FiLM-SIREN E130,Contralateral25ERB,dB,1.46787291887546
20260822,P0026,26,FiLM-SIREN E130,ERBBandILDMean,dB,1.5954780578613281
20260822,P0026,26,FiLM-SIREN E130,ITDWeightedMAE,us,15.704039380780685
20260822,P0026,26,FiLM-SIREN E130,FullSphereLSD,dB,4.203465886803798
20260822,P0026,26,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.63686347007751465
20260822,P0026,26,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.43660524487495422
20260822,P0026,26,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.71621817350387573
20260822,P0026,26,FSC E190,FullSphereERB,dB,0.80117745033111698
20260822,P0026,26,FSC E190,Contralateral25ERB,dB,1.4365130461170199
20260822,P0026,26,FSC E190,ERBBandILDMean,dB,1.4872733354568481
20260822,P0026,26,FSC E190,ITDWeightedMAE,us,15.691538782709259
20260822,P0026,26,FSC E190,FullSphereLSD,dB,3.8569470981872116
20260822,P0026,26,FSC E190,HFFirstDifferenceMAE,dB/bin,0.52360671758651733
20260822,P0026,26,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.33424213528633118
20260822,P0026,26,FSC E190,MultiScaleNotchDepthMAE,dB,0.60714930295944214
20260823,P0026,26,FiLM-SIREN E130,FullSphereERB,dB,0.82132709964533801
20260823,P0026,26,FiLM-SIREN E130,Contralateral25ERB,dB,1.35076969591217
20260823,P0026,26,FiLM-SIREN E130,ERBBandILDMean,dB,1.5326560735702515
20260823,P0026,26,FiLM-SIREN E130,ITDWeightedMAE,us,15.59193402545969
20260823,P0026,26,FiLM-SIREN E130,FullSphereLSD,dB,4.2335485303679175
20260823,P0026,26,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.62207180261611938
20260823,P0026,26,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.41684037446975708
20260823,P0026,26,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.70597821474075317
20260823,P0026,26,FSC E190,FullSphereERB,dB,0.78980776823959697
20260823,P0026,26,FSC E190,Contralateral25ERB,dB,1.3383232817950399
20260823,P0026,26,FSC E190,ERBBandILDMean,dB,1.4308730363845825
20260823,P0026,26,FSC E190,ITDWeightedMAE,us,15.592055579382963
20260823,P0026,26,FSC E190,FullSphereLSD,dB,3.8759513159786483
20260823,P0026,26,FSC E190,HFFirstDifferenceMAE,dB/bin,0.52318942546844482
20260823,P0026,26,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.33303743600845337
20260823,P0026,26,FSC E190,MultiScaleNotchDepthMAE,dB,0.60861587524414062
20260821,P0046,46,FiLM-SIREN E130,FullSphereERB,dB,0.71574993456352598
20260821,P0046,46,FiLM-SIREN E130,Contralateral25ERB,dB,1.13144977899727
20260821,P0046,46,FiLM-SIREN E130,ERBBandILDMean,dB,1.4604792594909668
20260821,P0046,46,FiLM-SIREN E130,ITDWeightedMAE,us,17.294108540515257
20260821,P0046,46,FiLM-SIREN E130,FullSphereLSD,dB,3.4529741297475272
20260821,P0046,46,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.42532864212989807
20260821,P0046,46,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.25405183434486389
20260821,P0046,46,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.5181458592414856
20260821,P0046,46,FSC E190,FullSphereERB,dB,0.69821359863254895
20260821,P0046,46,FSC E190,Contralateral25ERB,dB,1.1071744031228401
20260821,P0046,46,FSC E190,ERBBandILDMean,dB,1.3599046468734741
20260821,P0046,46,FSC E190,ITDWeightedMAE,us,17.290489644301488
20260821,P0046,46,FSC E190,FullSphereLSD,dB,3.2432006603023007
20260821,P0046,46,FSC E190,HFFirstDifferenceMAE,dB/bin,0.35375568270683289
20260821,P0046,46,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.19615457952022552
20260821,P0046,46,FSC E190,MultiScaleNotchDepthMAE,dB,0.44705820083618164
20260822,P0046,46,FiLM-SIREN E130,FullSphereERB,dB,0.70719804660338503
20260822,P0046,46,FiLM-SIREN E130,Contralateral25ERB,dB,1.1149963182498199
20260822,P0046,46,FiLM-SIREN E130,ERBBandILDMean,dB,1.4155718088150024
20260822,P0046,46,FiLM-SIREN E130,ITDWeightedMAE,us,17.230797628005071
20260822,P0046,46,FiLM-SIREN E130,FullSphereLSD,dB,3.4165495113307474
20260822,P0046,46,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.42178785800933838
20260822,P0046,46,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.24875199794769287
20260822,P0046,46,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.51434165239334106
20260822,P0046,46,FSC E190,FullSphereERB,dB,0.69258735684334904
20260822,P0046,46,FSC E190,Contralateral25ERB,dB,1.08193080840904
20260822,P0046,46,FSC E190,ERBBandILDMean,dB,1.3171486854553223
20260822,P0046,46,FSC E190,ITDWeightedMAE,us,17.265719512451632
20260822,P0046,46,FSC E190,FullSphereLSD,dB,3.2090486738772563
20260822,P0046,46,FSC E190,HFFirstDifferenceMAE,dB/bin,0.35178583860397339
20260822,P0046,46,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.19240285456180573
20260822,P0046,46,FSC E190,MultiScaleNotchDepthMAE,dB,0.44687214493751526
20260823,P0046,46,FiLM-SIREN E130,FullSphereERB,dB,0.70919964028065197
