seed,epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,train_ild_spectral_proxy_mae_db,train_cnn_delta_mean_absolute_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,validation_ild_spectral_proxy_mae_db,validation_cnn_delta_mean_absolute_db,learning_rate,epoch_seconds,skipped_optimizer_steps
20260810,1,0.6617843729257583,2.5166400079727174,1.0044365533590316,3.5755912728309633,0.6387666818499566,0.6207852205634117,0.9844213797807793,0.6790339822570483,2.577533901979526,1.0387524167696636,3.6399665673573813,0.6315693479652206,0.6152873135482272,0.9949021294219317,0.0001,77.8251201,0
20260810,2,0.6636285160779953,2.5246323361396787,1.0128702533245086,3.593483868598938,0.628438335776329,0.625887148976326,0.9887771040535417,0.679504869505763,2.5809294221301875,1.048583806802829,3.6425571218132973,0.6323927339787284,0.6151373060420156,1.0144139886663277,9.755282581475769e-05,77.4480822,0
20260810,3,0.6625567360520362,2.5264373574256895,1.0158341188430786,3.59345538854599,0.6193659526705741,0.631319480240345,1.0000812572969853,0.6786275332172712,2.577628083527088,1.0472159162163734,3.629968042174975,0.6326678249364098,0.6207419640074173,1.0397816842632759,9.045084971874737e-05,76.9371576,0
20260810,4,0.6543890398740768,2.4964571120738985,1.0019309248924255,3.5518850798606874,0.6198039280176163,0.625936482667923,1.0097137352835353,0.6739539218445619,2.568128317594528,1.040357928102215,3.614451676607132,0.6222616486872236,0.6158312397698561,1.0189286692779163,7.938926261462366e-05,76.7702229,0
20260810,5,0.6616568241119385,2.5226555695533754,1.0174823770523072,3.5826070704460142,0.6168555316030979,0.6206887254714966,1.0261001739331503,0.6733449399471283,2.565274770061175,1.0341913128892581,3.6154611880580583,0.6212684229637185,0.6125887678936124,1.0570787737215805,6.545084971874737e-05,77.52406959999996,0
20260810,6,0.6514834396839142,2.496858446598053,0.9952641091346741,3.5619179162979124,0.602179840028286,0.6186228488087654,1.0369045099219338,0.6733739823102951,2.564655002206564,1.0352332207063835,3.6157733649015427,0.6225157069663206,0.6178248133510351,1.0430076033830673,4.9999999999999996e-05,77.80762759999999,0
20260810,7,0.6587386901378631,2.5157002408504487,1.0026726330518723,3.5954489569664,0.6132129364609719,0.6293709861636162,1.0409179939871003,0.6717188355202476,2.5616494230926037,1.0358409446974595,3.609561115503311,0.617866389763852,0.6141103372598687,1.0511290849743944,3.454915028125263e-05,77.70055039999994,0
20260810,8,0.654310276389122,2.5095507447719574,0.9995746880769729,3.5789674563407896,0.5975075050592422,0.62590689432621,1.041713583308756,0.6721683458114663,2.561863124370575,1.0338728440304596,3.608738755186399,0.6210511506845554,0.6165572439009944,1.0743014598393767,2.0610737385376345e-05,77.5254701,0
20260810,9,0.6500704063177108,2.4976855015754698,1.0027952268123628,3.5431549139022827,0.5918691427111625,0.6116493746638298,1.0604876911794783,0.671068579579393,2.5607100228468576,1.0333897701154153,3.6075855692227683,0.6154055499161283,0.6131073165064057,1.074825200850207,9.549150281252631e-06,76.89865429999998,0
20260810,10,0.6537964524030685,2.509157790184021,1.0059347455501557,3.551920213699341,0.5993786647319793,0.6104526694417,1.0560192929093117,0.6711369094749292,2.5608021716276803,1.0338521829495828,3.607688434422016,0.6159302589173118,0.6138889553646246,1.0710330528685523,2.447174185242323e-06,77.51510399999995,0
20260811,1,0.6694670230150223,2.539834149122238,1.023858805656433,3.597801016330719,0.6412709778547288,0.6234978718161583,0.9776777157919463,0.6777669793615738,2.5767309106886387,1.0395305982480447,3.6354637990395227,0.6262983015427986,0.6123478813096881,1.01923973956131,0.0001,78.53968280000001,0
20260811,2,0.6567760303020477,2.5010088069438936,1.0053563095331193,3.5764230990409853,0.620059768974781,0.6084014568924904,0.9867537463658821,0.679055572176973,2.574968005220095,1.0387539292375247,3.6296264429887137,0.6403746139258146,0.6211860484133164,0.9998746568092113,9.755282581475769e-05,77.84775479999999,0
20260811,3,0.6595418471097946,2.519061250209808,1.006817116856575,3.5676229009628297,0.622844229221344,0.6115209522843361,1.008384215040135,0.6760482906053463,2.572127517312765,1.0385009093830984,3.629138598839442,0.6255154771109422,0.6159967491403222,0.9996207371072682,9.045084971874737e-05,77.6625713,0
20260811,4,0.6569467961192131,2.506547213792801,1.0073760668039322,3.570349714756012,0.6169510477185249,0.6213224202990532,1.0183594585732962,0.6754980071758231,2.5704543329775333,1.037353911747535,3.6198294584949813,0.6265457964812716,0.6207261461143693,1.016745324352359,7.938926261462366e-05,77.00429229999997,0
20260811,5,0.6526918977499008,2.506598222017288,0.9986411949396133,3.5683119707107545,0.5955211095809937,0.6166004836559296,1.021424206510651,0.67579914132754,2.573435101658106,1.0392768159508705,3.6271903440356255,0.624202442355454,0.6195803334315618,1.0239330237184199,6.545084971874737e-05,78.00521279999998,0
20260811,6,0.6573034164905548,2.522741839170456,1.0093344453573228,3.576603659629822,0.5994401857256889,0.6174474359154701,1.0260184550721327,0.6738430351639787,2.5648215723534427,1.0350415489325921,3.612464730938276,0.6267186080416044,0.6189650542413195,1.0574679193724266,4.9999999999999996e-05,76.8046804,0
20260811,7,0.6513395850658417,2.500506909370422,1.004168846487999,3.555286759853363,0.5935764210224151,0.6248389136195183,1.025152476376062,0.6735313395038247,2.5647873369356,1.03630630671978,3.612476530174414,0.6252234385659298,0.6222798035790523,1.0401576559887649,3.454915028125263e-05,77.236264,0
20260811,8,0.6535263721942901,2.5101336855888365,1.0062253217697144,3.56466105222702,0.5934263556003571,0.6176836932897568,1.04358156275447,0.6717811239262422,2.561320732037226,1.0329650230705738,3.6090215692917504,0.6187860788777471,0.6144445144260923,1.0611726777268697,2.0610737385376345e-05,77.79964659999996,0
20260811,9,0.6553667073249817,2.512968367815018,1.0084158083200454,3.579669042110443,0.5947200558185577,0.6184094477891922,1.039953090912831,0.6717354329302907,2.5624617896974087,1.0336998663842678,3.6092821334799132,0.6176478291551272,0.6169310913731655,1.0671216366827319,9.549150281252631e-06,77.33946229999992,0
20260811,10,0.6557103019952774,2.515135814666748,1.0023468570709229,3.5891814470291137,0.5988870642781258,0.620596447467804,1.0459867890476215,0.6713514548415939,2.561576576282581,1.0333669371902943,3.6085652013619742,0.6164297039310137,0.6145939162621895,1.065405777315218,2.447174185242323e-06,77.45340880000003,0
