Metric,Quantity,Rank,Method,MethodLabel,Value_dB
ContralateralHemisphereHighFrequency,Q26Endpoint,7,SUpDEqSH,SUpDEq + SH,5.993626091744744
ContralateralHemisphereHighFrequency,Q26Endpoint,8,SHOnly,SH only,9.06689581596292
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,1,SHOnly,SH only,-2.375642619127978
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,2,SUpDEqSH,SUpDEq + SH,0.14863159947742324
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,3,SUpDEqNN,SUpDEq + Natural Neighbor,0.46984098438187766
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,4,RANF,RANF,0.5271796278877215
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,5,SUpDEqBary,SUpDEq + Barycentric,0.5968028548157238
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,6,MCARv32,MCAR v3.2,1.8983795994805683
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,7,MCA,MCA,2.070351295002503
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,8,FSPAE,FSP-AE,2.217786655260044
HorizontalILDMAE,Q6Endpoint,1,RANF,RANF,0.9977210024002116
HorizontalILDMAE,Q6Endpoint,2,MCARv32,MCAR v3.2,1.532969423437087
HorizontalILDMAE,Q6Endpoint,3,MCA,MCA,1.8143475096526371
HorizontalILDMAE,Q6Endpoint,4,SUpDEqBary,SUpDEq + Barycentric,2.0998320660096064
HorizontalILDMAE,Q6Endpoint,5,SUpDEqNN,SUpDEq + Natural Neighbor,2.2755284967561518
HorizontalILDMAE,Q6Endpoint,6,SHOnly,SH only,2.2917271133246646
HorizontalILDMAE,Q6Endpoint,7,FSPAE,FSP-AE,2.3851826993151595
HorizontalILDMAE,Q6Endpoint,8,SUpDEqSH,SUpDEq + SH,2.390817559110701
HorizontalILDMAE,Q14Endpoint,1,RANF,RANF,0.7907454519804077
HorizontalILDMAE,Q14Endpoint,2,MCARv32,MCAR v3.2,0.8680731355461494
HorizontalILDMAE,Q14Endpoint,3,MCA,MCA,1.0574373902002592
HorizontalILDMAE,Q14Endpoint,4,SUpDEqBary,SUpDEq + Barycentric,1.4722928941530655
HorizontalILDMAE,Q14Endpoint,5,SUpDEqNN,SUpDEq + Natural Neighbor,1.5401456392417088
HorizontalILDMAE,Q14Endpoint,6,SUpDEqSH,SUpDEq + SH,1.7967381448022677
HorizontalILDMAE,Q14Endpoint,7,FSPAE,FSP-AE,2.07244105246656
HorizontalILDMAE,Q14Endpoint,8,SHOnly,SH only,4.056949383686722
HorizontalILDMAE,Q26Endpoint,1,MCARv32,MCAR v3.2,0.6602974933740188
HorizontalILDMAE,Q26Endpoint,2,FSPAE,FSP-AE,0.7586678868554789
HorizontalILDMAE,Q26Endpoint,3,RANF,RANF,0.7754627752953565
HorizontalILDMAE,Q26Endpoint,4,MCA,MCA,0.8293849413252904
HorizontalILDMAE,Q26Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,1.6150625035594692
HorizontalILDMAE,Q26Endpoint,6,SUpDEqNN,SUpDEq + Natural Neighbor,1.6369764025659586
HorizontalILDMAE,Q26Endpoint,7,SUpDEqSH,SUpDEq + SH,2.018131182733109
HorizontalILDMAE,Q26Endpoint,8,SHOnly,SH only,3.5510804362315813
HorizontalILDMAE,Q6MinusQ26Degradation,1,SHOnly,SH only,-1.2593533229069171
HorizontalILDMAE,Q6MinusQ26Degradation,2,RANF,RANF,0.2222582271048549
HorizontalILDMAE,Q6MinusQ26Degradation,3,SUpDEqSH,SUpDEq + SH,0.37268637637759205
HorizontalILDMAE,Q6MinusQ26Degradation,4,SUpDEqBary,SUpDEq + Barycentric,0.4847695624501372
HorizontalILDMAE,Q6MinusQ26Degradation,5,SUpDEqNN,SUpDEq + Natural Neighbor,0.6385520941901929
HorizontalILDMAE,Q6MinusQ26Degradation,6,MCARv32,MCAR v3.2,0.8726719300630678
HorizontalILDMAE,Q6MinusQ26Degradation,7,MCA,MCA,0.9849625683273466
HorizontalILDMAE,Q6MinusQ26Degradation,8,FSPAE,FSP-AE,1.6265148124596807
