Metric,Contrast,MethodA,MethodB,MethodAFamily,MethodBFamily,MeanDifferenceAminusB_dB,CI95Lower_dB,CI95Upper_dB,TwoSidedBootstrapP,BootstrapReplicates,Seed
Contralateral25ERB,Q6Endpoint,SUpDEqSH,SUpDEqNN,baseline,baseline,-0.20618617695789132,-0.25371374576134664,-0.16084289745865288,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SUpDEqSH,SUpDEqNN,baseline,baseline,-0.19373820771084044,-0.25631652417117945,-0.1348343637912582,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SUpDEqSH,SUpDEqBary,baseline,baseline,-0.32806252134170566,-0.39481551951716,-0.26637102201840906,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SUpDEqSH,SUpDEqBary,baseline,baseline,-0.3740271735017018,-0.4569562341792609,-0.2978342570394921,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SUpDEqSH,MCA,baseline,baseline,0.3368760204591428,0.26625308949261,0.4251622607861572,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SUpDEqSH,MCA,baseline,baseline,-0.14542778267324089,-0.19920540155112826,-0.09258851383081886,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SUpDEqSH,MCARv32,baseline,learned,0.787011883203733,0.7440558196949861,0.8316040187638934,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SUpDEqSH,MCARv32,baseline,learned,-0.09107186916252247,-0.14273475102525104,-0.0387423370210932,0.0007999200079992001,10000,20260812
Contralateral25ERB,Q6Endpoint,SUpDEqSH,FSPAE,baseline,learned,-0.3960029417243995,-0.6003920070538429,-0.2489446138817125,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SUpDEqSH,FSPAE,baseline,learned,-0.7151896260963,-0.7944125077658354,-0.6367973758055915,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6Endpoint,SUpDEqSH,RANF,baseline,learned,0.9048156010515392,0.836213519786947,0.9803606195513361,0.00019998000199980003,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,SUpDEqSH,RANF,baseline,learned,0.2340791655880948,0.16822630979039047,0.30268719541661987,0.00019998000199980003,10000,20260812
