Metric,Contrast,MethodA,MethodB,MethodAFamily,MethodBFamily,MeanDifferenceAminusB_dB,CI95Lower_dB,CI95Upper_dB,TwoSidedBootstrapP,BootstrapReplicates,Seed
HorizontalILDMAE,Q6Endpoint,SUpDEqNN,FSPAE,baseline,learned,-0.10965420255900817,-0.526351085178347,0.20203039202533485,0.6227377262273772,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqNN,FSPAE,baseline,learned,-0.987962718269488,-1.2279652460325057,-0.7611191066742887,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqNN,RANF,baseline,learned,1.27780749435594,1.157029342688358,1.397107716070293,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqNN,RANF,baseline,learned,0.416293867085338,0.2606476791039841,0.573428576871138,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqBary,MCARv32,baseline,learned,0.5668626425725198,0.43530300592562327,0.7130013321482961,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqBary,MCARv32,baseline,learned,-0.3879023676129304,-0.5358588338022344,-0.21291946030810213,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqBary,FSPAE,baseline,learned,-0.2853506333055533,-0.5773547845180396,-0.03405496317140889,0.019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqBary,FSPAE,baseline,learned,-1.1417452500095435,-1.360618754711171,-0.9293282423338742,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,SUpDEqBary,RANF,baseline,learned,1.102111063609395,0.93882923659737,1.2984403100468793,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,SUpDEqBary,RANF,baseline,learned,0.26251133534528237,0.0897205750491965,0.46123213337298047,0.0023997600239976003,10000,20260812
HorizontalILDMAE,Q6Endpoint,MCA,MCARv32,baseline,learned,0.28137808621555044,0.1755215837680081,0.34859332568538,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,MCA,MCARv32,baseline,learned,0.11229063826427893,0.06227050597951615,0.16214188899889417,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,MCA,FSPAE,baseline,learned,-0.5708351896625228,-1.0665761846948483,-0.24087253104834172,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,MCA,FSPAE,baseline,learned,-0.6415522441323342,-0.8261819219765995,-0.4690415597109536,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6Endpoint,MCA,RANF,baseline,learned,0.8166265072524254,0.7069651712652701,0.9276336124031666,0.00019998000199980003,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,MCA,RANF,baseline,learned,0.7627043412224918,0.6558733787085165,0.8669905106400206,0.00019998000199980003,10000,20260812
