run_name,tikhonov_epsilon,subject_id,split,scope,residual_mae_db,residual_rmse_db,erb_proxy_mae_db,contralateral_high_frequency_mae_db,strict_hrir_ild_mae_db
sonicom_pilot_q26_tikh1e6,1e-06,P0277,val,interpolation_only_767,3.2121075792686353,4.851223614847161,1.2450034985045073,4.731155170632365,0.9033888544924908
sonicom_pilot_q26_tikh1e4,0.0001,P0001,val,all_793,3.3415000177439302,5.032854665378298,1.2289636918677034,4.628233537086087,0.9030164228933428
sonicom_pilot_q26_tikh1e4,0.0001,P0001,val,interpolation_only_767,3.3737476618688067,5.0673973609236365,1.2451284383820995,4.653196387014092,0.9078300766275639
sonicom_pilot_q26_tikh1e4,0.0001,P0002,train,all_793,3.333546847656379,5.04164515215831,1.2501580060701074,4.5944549769561895,0.8897419520553106
sonicom_pilot_q26_tikh1e4,0.0001,P0002,train,interpolation_only_767,3.362357860468951,5.0710841870867736,1.2665515292390668,4.617604711459833,0.8968867058359982
sonicom_pilot_q26_tikh1e4,0.0001,P0238,train,all_793,2.929446152659539,4.502040757314885,1.190799926134305,4.036682938343818,0.7215408666552041
sonicom_pilot_q26_tikh1e4,0.0001,P0238,train,interpolation_only_767,2.9647075490030628,4.542643598324292,1.2073296718383475,4.066838031652227,0.7278162784212157
sonicom_pilot_q26_tikh1e4,0.0001,P0242,val,all_793,3.2542767844287868,4.884403651704906,1.3218683902175599,4.94405359429169,1.1145672274587346
sonicom_pilot_q26_tikh1e4,0.0001,P0242,val,interpolation_only_767,3.282547501132492,4.913436145886083,1.3370585495349356,4.9526944828077735,1.1198912195115323
sonicom_pilot_q26_tikh1e4,0.0001,P0243,train,all_793,2.882542037994628,4.464621801076748,1.150216562511463,4.372850076869157,0.7401036357148472
sonicom_pilot_q26_tikh1e4,0.0001,P0243,train,interpolation_only_767,2.912844593099057,4.497036985964463,1.1645770160275528,4.391292655230634,0.7455333918612836
sonicom_pilot_q26_tikh1e4,0.0001,P0277,val,all_793,3.1751929071580043,4.811428260236168,1.2278912094408247,4.69860855789346,0.8979927096285725
sonicom_pilot_q26_tikh1e4,0.0001,P0277,val,interpolation_only_767,3.21192625567675,4.851123638097089,1.2448341521820612,4.731157425366621,0.9035072611483357
sonicom_pilot_q26_tikh1e2,0.01,P0001,val,all_793,3.333729237275064,5.028987535860035,1.2212964495877652,4.613921463136959,0.9255137398917276
sonicom_pilot_q26_tikh1e2,0.01,P0001,val,interpolation_only_767,3.3656634614317023,5.063017812960652,1.2370292437262147,4.63862908805503,0.9316343907715678
sonicom_pilot_q26_tikh1e2,0.01,P0002,train,all_793,3.3348138594411805,5.0422800128662795,1.248438833289096,4.603874942443202,0.914437142140239
sonicom_pilot_q26_tikh1e2,0.01,P0002,train,interpolation_only_767,3.3629733709532252,5.072040829690327,1.264518661139746,4.625581861098445,0.9224487302089607
sonicom_pilot_q26_tikh1e2,0.01,P0238,train,all_793,2.924199445788177,4.508524216861345,1.184109393434104,4.0711932149473995,0.7449122576689462
sonicom_pilot_q26_tikh1e2,0.01,P0238,train,interpolation_only_767,2.958778196636819,4.547764673225063,1.2001692683470855,4.1004246258139165,0.7520289634647626
sonicom_pilot_q26_tikh1e2,0.01,P0242,val,all_793,3.236466272428171,4.868087206893965,1.3077702564821094,4.936522121588073,1.1026872322797254
sonicom_pilot_q26_tikh1e2,0.01,P0242,val,interpolation_only_767,3.264127716187356,4.896782867099707,1.322486923473928,4.944889338127565,1.1087833086802057
sonicom_pilot_q26_tikh1e2,0.01,P0243,train,all_793,2.8746500859716697,4.473278937978383,1.1414507647182797,4.398290746691609,0.753754001243976
sonicom_pilot_q26_tikh1e2,0.01,P0243,train,interpolation_only_767,2.904031864401524,4.504654498776502,1.1553418790828958,4.415603572079743,0.759359026667429
sonicom_pilot_q26_tikh1e2,0.01,P0277,val,all_793,3.1616573127637357,4.799327097765192,1.2166447882133604,4.702062739929097,0.9139352062255751
sonicom_pilot_q26_tikh1e2,0.01,P0277,val,interpolation_only_767,3.19836269202212,4.839400359157611,1.2332180915351438,4.735253965080763,0.9200928742980918
sonicom_pilot_q26_tikh3e2,0.03,P0001,val,all_793,3.3375165706835874,5.037965144967555,1.2305373524808036,4.60823734383543,0.9957343866403525
sonicom_pilot_q26_tikh3e2,0.03,P0001,val,interpolation_only_767,3.368078738775318,5.069985955106698,1.2452669922625468,4.630973985765267,1.0043314620730512
sonicom_pilot_q26_tikh3e2,0.03,P0002,train,all_793,3.3602215096452324,5.066925638969134,1.2718784071391973,4.648440319115769,0.9789463945659062
sonicom_pilot_q26_tikh3e2,0.03,P0002,train,interpolation_only_767,3.386180947343319,5.094828950224695,1.2868292739699805,4.66663686712823,0.9884892724426413
sonicom_pilot_q26_tikh3e2,0.03,P0238,train,all_793,2.9364902389773784,4.536532076012035,1.1946147599896433,4.155947084136026,0.8331021975806462
sonicom_pilot_q26_tikh3e2,0.03,P0238,train,interpolation_only_767,2.969644277309249,4.574200952939843,1.209675416391656,4.183813311330198,0.842546455883313
sonicom_pilot_q26_tikh3e2,0.03,P0242,val,all_793,3.227511805430636,4.865401040555409,1.303263825256658,4.94841115446293,1.1231181106236745
